t,phase,q1,q2,q3,q4,q5,tip_x,tip_y,tip_z,error,depth
11.95,insertion,0.608861,0.015,-0.310855,0.349066,0.026015,0.548661,0.015,0.123742,0.083796,-0.003742
12.0,insertion,0.608861,0.015,-0.310855,0.349066,0.026265,0.548575,0.015,0.123507,0.083546,-0.003507
12.05,insertion,0.608861,0.015,-0.310855,0.349066,0.026515,0.54849,0.015,0.123272,0.083296,-0.003272
12.1,insertion,0.608861,0.015,-0.310855,0.349066,0.026765,0.548404,0.015,0.123037,0.083046,-0.003037
12.15,insertion,0.608861,0.015,-0.310855,0.349066,0.027016,0.548318,0.015,0.122802,0.082796,-0.002802
12.2,insertion,0.608861,0.015,-0.310855,0.349066,0.027266,0.548233,0.015,0.122567,0.082545,-0.002567
12.25,insertion,0.608861,0.015,-0.310855,0.349066,0.027516,0.548147,0.015,0.122332,0.082295,-0.002332
12.3,insertion,0.608861,0.015,-0.310855,0.349066,0.027766,0.548062,0.015,0.122097,0.082045,-0.002097
12.35,insertion,0.608861,0.015,-0.310855,0.349066,0.028016,0.547976,0.015,0.121862,0.081795,-0.001862
12.4,insertion,0.608861,0.015,-0.310855,0.349066,0.028266,0.547891,0.015,0.121627,0.081545,-0.001627
12.45,insertion,0.608861,0.015,-0.310855,0.349066,0.028516,0.547805,0.015,0.121392,0.081295,-0.001392
12.5,insertion,0.608861,0.015,-0.310855,0.349066,0.028767,0.54772,0.015,0.121157,0.081045,-0.001157
12.55,insertion,0.608861,0.015,-0.310855,0.349066,0.029017,0.547634,0.015,0.120922,0.080794,-0.000922
12.6,insertion,0.608861,0.015,-0.310855,0.349066,0.029267,0.547549,0.015,0.120687,0.080544,-0.000687
12.65,insertion,0.608861,0.015,-0.310855,0.349066,0.029517,0.547463,0.015,0.120452,0.080294,-0.000452
12.7,insertion,0.608861,0.015,-0.310855,0.349066,0.029767,0.547377,0.015,0.120216,0.080044,-0.000216
12.75,insertion,0.608861,0.015,-0.310855,0.349066,0.030017,0.547292,0.015,0.119981,0.079794,1.9e-05
12.8,insertion,0.608861,0.015,-0.310855,0.349066,0.030267,0.547206,0.015,0.119746,0.079544,0.000254
12.85,insertion,0.608861,0.015,-0.310855,0.349066,0.030518,0.547121,0.015,0.119511,0.079294,0.000489
12.9,insertion,0.608861,0.015,-0.310855,0.349066,0.030768,0.547035,0.015,0.119276,0.079043,0.000724
12.95,insertion,0.608861,0.015,-0.310855,0.349066,0.031018,0.54695,0.015,0.119041,0.078793,0.000959
13.0,insertion,0.608861,0.015,-0.310855,0.349066,0.031268,0.546864,0.015,0.118806,0.078543,0.001194
13.05,insertion,0.608861,0.015,-0.310855,0.349066,0.031518,0.546779,0.015,0.118571,0.078293,0.001429
13.1,insertion,0.608861,0.015,-0.310855,0.349066,0.031768,0.546693,0.015,0.118336,0.078043,0.001664
13.15,insertion,0.608861,0.015,-0.310855,0.349066,0.032018,0.546607,0.015,0.118101,0.077793,0.001899
13.2,insertion,0.608861,0.015,-0.310855,0.349066,0.032269,0.546522,0.015,0.117866,0.077543,0.002134
13.25,insertion,0.608861,0.015,-0.310855,0.349066,0.032519,0.546436,0.015,0.117631,0.077292,0.002369
13.3,insertion,0.608861,0.015,-0.310855,0.349066,0.032769,0.546351,0.015,0.117396,0.077042,0.002604
13.35,insertion,0.608861,0.015,-0.310855,0.349066,0.033019,0.546265,0.015,0.117161,0.076792,0.002839
13.4,insertion,0.608861,0.015,-0.310855,0.349066,0.033269,0.54618,0.015,0.116926,0.076542,0.003074
13.45,insertion,0.608861,0.015,-0.310855,0.349066,0.033519,0.546094,0.015,0.116691,0.076292,0.003309
13.5,insertion,0.608861,0.015,-0.310855,0.349066,0.033769,0.546009,0.015,0.116456,0.076042,0.003544
13.55,insertion,0.608861,0.015,-0.310855,0.349066,0.03402,0.545923,0.015,0.116221,0.075792,0.003779
13.6,insertion,0.608861,0.015,-0.310855,0.349066,0.03427,0.545837,0.015,0.115985,0.075541,0.004015
13.65,insertion,0.608861,0.015,-0.310855,0.349066,0.03452,0.545752,0.015,0.11575,0.075291,0.00425
13.7,insertion,0.608861,0.015,-0.310855,0.349066,0.03477,0.545666,0.015,0.115515,0.075041,0.004485
13.75,insertion,0.608861,0.015,-0.310855,0.349066,0.03502,0.545581,0.015,0.11528,0.074791,0.00472
13.8,insertion,0.608861,0.015,-0.310855,0.349066,0.03527,0.545495,0.015,0.115045,0.074541,0.004955
13.85,insertion,0.608861,0.015,-0.310855,0.349066,0.03552,0.54541,0.015,0.11481,0.074291,0.00519
13.9,insertion,0.608861,0.015,-0.310855,0.349066,0.035771,0.545324,0.015,0.114575,0.074041,0.005425
13.95,insertion,0.608861,0.015,-0.310855,0.349066,0.036021,0.545239,0.015,0.11434,0.07379,0.00566
14.0,insertion,0.608861,0.015,-0.310855,0.349066,0.036271,0.545153,0.015,0.114105,0.07354,0.005895
14.05,insertion,0.608861,0.015,-0.310855,0.349066,0.036521,0.545067,0.015,0.11387,0.07329,0.00613
14.1,insertion,0.608861,0.015,-0.310855,0.349066,0.036771,0.544982,0.015,0.113635,0.07304,0.006365
14.15,insertion,0.608861,0.015,-0.310855,0.349066,0.037021,0.544896,0.015,0.1134,0.07279,0.0066
14.2,insertion,0.608861,0.015,-0.310855,0.349066,0.037271,0.544811,0.015,0.113165,0.07254,0.006835
14.25,insertion,0.608861,0.015,-0.310855,0.349066,0.037522,0.544725,0.015,0.11293,0.07229,0.00707
14.3,insertion,0.608861,0.015,-0.310855,0.349066,0.037772,0.54464,0.015,0.112695,0.072039,0.007305
14.35,insertion,0.608861,0.015,-0.310855,0.349066,0.038022,0.544554,0.015,0.11246,0.071789,0.00754
14.4,insertion,0.608861,0.015,-0.310855,0.349066,0.038272,0.544469,0.015,0.112225,0.071539,0.007775
14.45,insertion,0.608861,0.015,-0.310855,0.349066,0.038522,0.544383,0.015,0.111989,0.071289,0.008011
14.5,insertion,0.608861,0.015,-0.310855,0.349066,0.038772,0.544297,0.015,0.111754,0.071039,0.008246
14.55,insertion,0.608861,0.015,-0.310855,0.349066,0.039023,0.544212,0.015,0.111519,0.070789,0.008481
14.6,insertion,0.608861,0.015,-0.310855,0.349066,0.039273,0.544126,0.015,0.111284,0.070539,0.008716
14.65,insertion,0.608861,0.015,-0.310855,0.349066,0.039523,0.544041,0.015,0.111049,0.070288,0.008951
14.7,insertion,0.608861,0.015,-0.310855,0.349066,0.039773,0.543955,0.015,0.110814,0.070038,0.009186
14.75,insertion,0.608861,0.015,-0.310855,0.349066,0.040023,0.54387,0.015,0.110579,0.069788,0.009421
14.8,insertion,0.608861,0.015,-0.310855,0.349066,0.040273,0.543784,0.015,0.110344,0.069538,0.009656
14.85,insertion,0.608861,0.015,-0.310855,0.349066,0.040523,0.543699,0.015,0.110109,0.069288,0.009891
14.9,insertion,0.608861,0.015,-0.310855,0.349066,0.040774,0.543613,0.015,0.109874,0.069038,0.010126
14.95,insertion,0.608861,0.015,-0.310855,0.349066,0.041024,0.543527,0.015,0.109639,0.068788,0.010361
15.0,insertion,0.608861,0.015,-0.310855,0.349066,0.041274,0.543442,0.015,0.109404,0.068537,0.010596
15.05,insertion,0.608861,0.015,-0.310855,0.349066,0.041524,0.543356,0.015,0.109169,0.068287,0.010831
15.1,insertion,0.608861,0.015,-0.310855,0.349066,0.041774,0.543271,0.015,0.108934,0.068037,0.011066
15.15,insertion,0.608861,0.015,-0.310855,0.349066,0.042024,0.543185,0.015,0.108699,0.067787,0.011301
15.2,insertion,0.608861,0.015,-0.310855,0.349066,0.042274,0.5431,0.015,0.108464,0.067537,0.011536
15.25,insertion,0.608861,0.015,-0.310855,0.349066,0.042525,0.543014,0.015,0.108229,0.067287,0.011771
15.3,insertion,0.608861,0.015,-0.310855,0.349066,0.042775,0.542929,0.015,0.107993,0.067037,0.012007
15.35,insertion,0.608861,0.015,-0.310855,0.349066,0.043025,0.542843,0.015,0.107758,0.066786,0.012242
15.4,insertion,0.608861,0.015,-0.310855,0.349066,0.043275,0.542757,0.015,0.107523,0.066536,0.012477
15.45,insertion,0.608861,0.015,-0.310855,0.349066,0.043525,0.542672,0.015,0.107288,0.066286,0.012712
15.5,insertion,0.608861,0.015,-0.310855,0.349066,0.043775,0.542586,0.015,0.107053,0.066036,0.012947
15.55,insertion,0.608861,0.015,-0.310855,0.349066,0.044025,0.542501,0.015,0.106818,0.065786,0.013182
15.6,insertion,0.608861,0.015,-0.310855,0.349066,0.044276,0.542415,0.015,0.106583,0.065536,0.013417
15.65,insertion,0.608861,0.015,-0.310855,0.349066,0.044526,0.54233,0.015,0.106348,0.065286,0.013652
15.7,insertion,0.608861,0.015,-0.310855,0.349066,0.044776,0.542244,0.015,0.106113,0.065035,0.013887
15.75,insertion,0.608861,0.015,-0.310855,0.349066,0.045026,0.542159,0.015,0.105878,0.064785,0.014122
15.8,insertion,0.608861,0.015,-0.310855,0.349066,0.045276,0.542073,0.015,0.105643,0.064535,0.014357
15.85,insertion,0.608861,0.015,-0.310855,0.349066,0.045526,0.541987,0.015,0.105408,0.064285,0.014592
15.9,insertion,0.608861,0.015,-0.310855,0.349066,0.045776,0.541902,0.015,0.105173,0.064035,0.014827
15.95,insertion,0.608861,0.015,-0.310855,0.349066,0.046027,0.541816,0.015,0.104938,0.063785,0.015062
16.0,insertion,0.608861,0.015,-0.310855,0.349066,0.046277,0.541731,0.015,0.104703,0.063534,0.015297
16.05,insertion,0.608861,0.015,-0.310855,0.349066,0.046527,0.541645,0.015,0.104468,0.063284,0.015532
16.1,insertion,0.608861,0.015,-0.310855,0.349066,0.046777,0.54156,0.015,0.104233,0.063034,0.015767
16.15,insertion,0.608861,0.015,-0.310855,0.349066,0.047027,0.541474,0.015,0.103997,0.062784,0.016003
16.2,insertion,0.608861,0.015,-0.310855,0.349066,0.047277,0.541389,0.015,0.103762,0.062534,0.016238
16.25,insertion,0.608861,0.015,-0.310855,0.349066,0.047527,0.541303,0.015,0.103527,0.062284,0.016473
16.3,insertion,0.608861,0.015,-0.310855,0.349066,0.047778,0.541217,0.015,0.103292,0.062034,0.016708
16.35,insertion,0.608861,0.015,-0.310855,0.349066,0.048028,0.541132,0.015,0.103057,0.061783,0.016943
16.4,insertion,0.608861,0.015,-0.310855,0.349066,0.048278,0.541046,0.015,0.102822,0.061533,0.017178
16.45,insertion,0.608861,0.015,-0.310855,0.349066,0.048528,0.540961,0.015,0.102587,0.061283,0.017413
16.5,insertion,0.608861,0.015,-0.310855,0.349066,0.048778,0.540875,0.015,0.102352,0.061033,0.017648
16.55,insertion,0.608861,0.015,-0.310855,0.349066,0.049028,0.54079,0.015,0.102117,0.060783,0.017883
16.6,insertion,0.608861,0.015,-0.310855,0.349066,0.049278,0.540704,0.015,0.101882,0.060533,0.018118
16.65,insertion,0.608861,0.015,-0.310855,0.349066,0.049529,0.540619,0.015,0.101647,0.060283,0.018353
16.7,insertion,0.608861,0.015,-0.310855,0.349066,0.049779,0.540533,0.015,0.101412,0.060032,0.018588
16.75,insertion,0.608861,0.015,-0.310855,0.349066,0.050029,0.540447,0.015,0.101177,0.059782,0.018823
16.8,insertion,0.608861,0.015,-0.310855,0.349066,0.050279,0.540362,0.015,0.100942,0.059532,0.019058
16.85,insertion,0.608861,0.015,-0.310855,0.349066,0.050529,0.540276,0.015,0.100707,0.059282,0.019293
16.9,insertion,0.608861,0.015,-0.310855,0.349066,0.050779,0.540191,0.015,0.100472,0.059032,0.019528
16.95,insertion,0.608861,0.015,-0.310855,0.349066,0.051029,0.540105,0.015,0.100237,0.058782,0.019763
17.0,insertion,0.608861,0.015,-0.310855,0.349066,0.05128,0.54002,0.015,0.100001,0.058532,0.019999
17.05,insertion,0.608861,0.015,-0.310855,0.349066,0.05153,0.539934,0.015,0.099766,0.058281,0.020234
17.1,insertion,0.608861,0.015,-0.310855,0.349066,0.05178,0.539849,0.015,0.099531,0.058031,0.020469
17.15,insertion,0.608861,0.015,-0.310855,0.349066,0.05203,0.539763,0.015,0.099296,0.057781,0.020704
17.2,insertion,0.608861,0.015,-0.310855,0.349066,0.05228,0.539678,0.015,0.099061,0.057531,0.020939
17.25,insertion,0.608861,0.015,-0.310855,0.349066,0.05253,0.539592,0.015,0.098826,0.057281,0.021174
17.3,insertion,0.608861,0.015,-0.310855,0.349066,0.05278,0.539506,0.015,0.098591,0.057031,0.021409
17.35,insertion,0.608861,0.015,-0.310855,0.349066,0.053031,0.539421,0.015,0.098356,0.056781,0.021644
17.4,insertion,0.608861,0.015,-0.310855,0.349066,0.053281,0.539335,0.015,0.098121,0.05653,0.021879
17.45,insertion,0.608861,0.015,-0.310855,0.349066,0.053531,0.53925,0.015,0.097886,0.05628,0.022114
17.5,insertion,0.608861,0.015,-0.310855,0.349066,0.053781,0.539164,0.015,0.097651,0.05603,0.022349
17.55,insertion,0.608861,0.015,-0.310855,0.349066,0.054031,0.539079,0.015,0.097416,0.05578,0.022584
17.6,insertion,0.608861,0.015,-0.310855,0.349066,0.054281,0.538993,0.015,0.097181,0.05553,0.022819
17.65,insertion,0.608861,0.015,-0.310855,0.349066,0.054531,0.538908,0.015,0.096946,0.05528,0.023054
17.7,insertion,0.608861,0.015,-0.310855,0.349066,0.054782,0.538822,0.015,0.096711,0.05503,0.023289
17.75,insertion,0.608861,0.015,-0.310855,0.349066,0.055032,0.538736,0.015,0.096476,0.054779,0.023524
17.8,insertion,0.608861,0.015,-0.310855,0.349066,0.055282,0.538651,0.015,0.096241,0.054529,0.023759
17.85,insertion,0.608861,0.015,-0.310855,0.349066,0.055532,0.538565,0.015,0.096005,0.054279,0.023995
17.9,insertion,0.608861,0.015,-0.310855,0.349066,0.055782,0.53848,0.015,0.09577,0.054029,0.02423
17.95,insertion,0.608861,0.015,-0.310855,0.349066,0.056032,0.538394,0.015,0.095535,0.053779,0.024465
18.0,insertion,0.608861,0.015,-0.310855,0.349066,0.056282,0.538309,0.015,0.0953,0.053529,0.0247
18.05,insertion,0.608861,0.015,-0.310855,0.349066,0.056533,0.538223,0.015,0.095065,0.053279,0.024935
18.1,insertion,0.608861,0.015,-0.310855,0.349066,0.056783,0.538138,0.015,0.09483,0.053028,0.02517
18.15,insertion,0.608861,0.015,-0.310855,0.349066,0.057033,0.538052,0.015,0.094595,0.052778,0.025405
18.2,insertion,0.608861,0.015,-0.310855,0.349066,0.057283,0.537966,0.015,0.09436,0.052528,0.02564
18.25,insertion,0.608861,0.015,-0.310855,0.349066,0.057533,0.537881,0.015,0.094125,0.052278,0.025875
18.3,insertion,0.608861,0.015,-0.310855,0.349066,0.057783,0.537795,0.015,0.09389,0.052028,0.02611
18.35,insertion,0.608861,0.015,-0.310855,0.349066,0.058033,0.53771,0.015,0.093655,0.051778,0.026345
18.4,insertion,0.608861,0.015,-0.310855,0.349066,0.058284,0.537624,0.015,0.09342,0.051528,0.02658
18.45,insertion,0.608861,0.015,-0.310855,0.349066,0.058534,0.537539,0.015,0.093185,0.051277,0.026815
18.5,insertion,0.608861,0.015,-0.310855,0.349066,0.058784,0.537453,0.015,0.09295,0.051027,0.02705
18.55,insertion,0.608861,0.015,-0.310855,0.349066,0.059034,0.537368,0.015,0.092715,0.050777,0.027285
18.6,insertion,0.608861,0.015,-0.310855,0.349066,0.059284,0.537282,0.015,0.09248,0.050527,0.02752
18.65,insertion,0.608861,0.015,-0.310855,0.349066,0.059534,0.537196,0.015,0.092245,0.050277,0.027755
18.7,insertion,0.608861,0.015,-0.310855,0.349066,0.059784,0.537111,0.015,0.092009,0.050027,0.027991
18.75,insertion,0.608861,0.015,-0.310855,0.349066,0.060035,0.537025,0.015,0.091774,0.049777,0.028226
18.8,insertion,0.608861,0.015,-0.310855,0.349066,0.060285,0.53694,0.015,0.091539,0.049526,0.028461
18.85,insertion,0.608861,0.015,-0.310855,0.349066,0.060535,0.536854,0.015,0.091304,0.049276,0.028696
18.9,insertion,0.608861,0.015,-0.310855,0.349066,0.060785,0.536769,0.015,0.091069,0.049026,0.028931
18.95,insertion,0.608861,0.015,-0.310855,0.349066,0.061035,0.536683,0.015,0.090834,0.048776,0.029166
19.0,insertion,0.608861,0.015,-0.310855,0.349066,0.061285,0.536598,0.015,0.090599,0.048526,0.029401
19.05,insertion,0.608861,0.015,-0.310855,0.349066,0.061535,0.536512,0.015,0.090364,0.048276,0.029636
19.1,insertion,0.608861,0.015,-0.310855,0.349066,0.061786,0.536426,0.015001,0.090129,0.048026,0.029871
19.15,insertion,0.608861,0.015,-0.310855,0.349066,0.062036,0.536341,0.015001,0.089894,0.047775,0.030106
19.2,insertion,0.608861,0.015,-0.310855,0.349066,0.062286,0.536255,0.015001,0.089659,0.047525,0.030341
19.25,insertion,0.608861,0.015,-0.310855,0.349066,0.062536,0.53617,0.015001,0.089424,0.047275,0.030576
19.3,insertion,0.608861,0.015,-0.310855,0.349066,0.062786,0.536084,0.015001,0.089189,0.047025,0.030811
19.35,insertion,0.608861,0.015,-0.310855,0.349066,0.063036,0.535999,0.015001,0.088954,0.046775,0.031046
19.4,insertion,0.608861,0.015,-0.310855,0.349066,0.063286,0.535913,0.015001,0.088719,0.046525,0.031281
19.45,insertion,0.608861,0.015,-0.310855,0.349066,0.063537,0.535828,0.015001,0.088484,0.046275,0.031516
19.5,insertion,0.608861,0.015,-0.310855,0.349066,0.063787,0.535742,0.015001,0.088249,0.046024,0.031751
19.55,insertion,0.608861,0.015,-0.310855,0.349066,0.064037,0.535656,0.015001,0.088013,0.045774,0.031987
19.6,insertion,0.608861,0.015,-0.310855,0.349066,0.064287,0.535571,0.015001,0.087778,0.045524,0.032222
19.65,insertion,0.608861,0.015,-0.310855,0.349066,0.064537,0.535485,0.015001,0.087543,0.045274,0.032457
19.7,insertion,0.608861,0.015,-0.310855,0.349066,0.064787,0.5354,0.015001,0.087308,0.045024,0.032692
19.75,insertion,0.608861,0.015,-0.310855,0.349066,0.065038,0.535314,0.015001,0.087073,0.044774,0.032927
19.8,insertion,0.608861,0.015,-0.310855,0.349066,0.065288,0.535229,0.015001,0.086838,0.044524,0.033162
19.85,insertion,0.608861,0.015,-0.310855,0.349066,0.065538,0.535143,0.015001,0.086603,0.044273,0.033397
19.9,insertion,0.608861,0.015,-0.310855,0.349066,0.065788,0.535058,0.015001,0.086368,0.044023,0.033632
19.95,insertion,0.608861,0.015,-0.310855,0.349066,0.066038,0.534972,0.015001,0.086133,0.043773,0.033867
20.0,insertion,0.608861,0.015,-0.310855,0.349066,0.066288,0.534886,0.015001,0.085898,0.043523,0.034102
20.05,insertion,0.608861,0.015,-0.310855,0.349066,0.066538,0.534801,0.015001,0.085663,0.043273,0.034337
20.1,insertion,0.608861,0.015,-0.310855,0.349066,0.066789,0.534715,0.015001,0.085428,0.043023,0.034572
20.15,insertion,0.608861,0.015,-0.310855,0.349066,0.067039,0.53463,0.015001,0.085193,0.042773,0.034807
20.2,insertion,0.608861,0.015,-0.310855,0.349066,0.067289,0.534544,0.015001,0.084958,0.042522,0.035042
20.25,insertion,0.608861,0.015,-0.310855,0.349066,0.067539,0.534459,0.015001,0.084723,0.042272,0.035277
20.3,insertion,0.608861,0.015,-0.310855,0.349066,0.067789,0.534373,0.015001,0.084488,0.042022,0.035512
20.35,insertion,0.608861,0.015,-0.310855,0.349066,0.068039,0.534288,0.015001,0.084253,0.041772,0.035747
20.4,insertion,0.608861,0.015,-0.310855,0.349066,0.068289,0.534202,0.015001,0.084017,0.041522,0.035983
20.45,insertion,0.608861,0.015,-0.310855,0.349066,0.06854,0.534116,0.015001,0.083782,0.041272,0.036218
20.5,insertion,0.608861,0.015,-0.310855,0.349066,0.06879,0.534031,0.015001,0.083547,0.041022,0.036453
20.55,insertion,0.608861,0.015,-0.310855,0.349066,0.06904,0.533945,0.015001,0.083312,0.040771,0.036688
20.6,insertion,0.608861,0.015,-0.310855,0.349066,0.06929,0.53386,0.015001,0.083077,0.040521,0.036923
20.65,insertion,0.608861,0.015,-0.310855,0.349066,0.06954,0.533774,0.015001,0.082842,0.040271,0.037158
20.7,insertion,0.608861,0.015,-0.310855,0.349066,0.06979,0.533689,0.015001,0.082607,0.040021,0.037393
20.75,insertion,0.608861,0.015,-0.310855,0.349066,0.07004,0.533603,0.015001,0.082372,0.039771,0.037628
20.8,insertion,0.608861,0.015,-0.310855,0.349066,0.070291,0.533518,0.015001,0.082137,0.039521,0.037863
20.85,insertion,0.608861,0.015,-0.310855,0.349066,0.070541,0.533432,0.015001,0.081902,0.03927,0.038098
20.9,insertion,0.608861,0.015,-0.310855,0.349066,0.070791,0.533346,0.015001,0.081667,0.03902,0.038333
20.95,insertion,0.608861,0.015,-0.310855,0.349066,0.071041,0.533261,0.015001,0.081432,0.03877,0.038568
21.0,insertion,0.608861,0.015,-0.310855,0.349066,0.071291,0.533175,0.015001,0.081197,0.03852,0.038803
21.05,insertion,0.608861,0.015,-0.310855,0.349066,0.071541,0.53309,0.015001,0.080962,0.03827,0.039038
21.1,insertion,0.608861,0.015,-0.310855,0.349066,0.071791,0.533004,0.015001,0.080727,0.03802,0.039273
21.15,insertion,0.608861,0.015,-0.310855,0.349066,0.072042,0.532919,0.015001,0.080492,0.03777,0.039508
21.2,insertion,0.608861,0.015,-0.310855,0.349066,0.072292,0.532833,0.015001,0.080257,0.037519,0.039743
21.25,insertion,0.608861,0.015,-0.310855,0.349066,0.072542,0.532748,0.015001,0.080021,0.037269,0.039979
21.3,insertion,0.608861,0.015,-0.310855,0.349066,0.072792,0.532662,0.015001,0.079786,0.037019,0.040214
21.35,insertion,0.608861,0.015,-0.310855,0.349066,0.073042,0.532576,0.015001,0.079551,0.036769,0.040449
21.4,insertion,0.608861,0.015,-0.310855,0.349066,0.073292,0.532491,0.015001,0.079316,0.036519,0.040684
21.45,insertion,0.608861,0.015,-0.310855,0.349066,0.073542,0.532405,0.015001,0.079081,0.036269,0.040919
21.5,insertion,0.608861,0.015,-0.310855,0.349066,0.073793,0.53232,0.015001,0.078846,0.036019,0.041154
21.55,insertion,0.608861,0.015,-0.310855,0.349066,0.074043,0.532234,0.015001,0.078611,0.035768,0.041389
21.6,insertion,0.608861,0.015,-0.310855,0.349066,0.074293,0.532149,0.015001,0.078376,0.035518,0.041624
21.65,insertion,0.608861,0.015,-0.310855,0.349066,0.074543,0.532063,0.015001,0.078141,0.035268,0.041859
21.7,insertion,0.608861,0.015,-0.310855,0.349066,0.074793,0.531978,0.015001,0.077906,0.035018,0.042094
21.75,insertion,0.608861,0.015,-0.310855,0.349066,0.075043,0.531892,0.015001,0.077671,0.034768,0.042329
21.8,insertion,0.608861,0.015,-0.310855,0.349066,0.075293,0.531807,0.015001,0.077436,0.034518,0.042564
21.85,insertion,0.608861,0.015,-0.310855,0.349066,0.075544,0.531721,0.015001,0.077201,0.034268,0.042799
21.9,insertion,0.608861,0.015,-0.310855,0.349066,0.075794,0.531635,0.015001,0.076966,0.034017,0.043034
21.95,insertion,0.608861,0.015,-0.310855,0.349066,0.076044,0.53155,0.015001,0.076731,0.033767,0.043269
22.0,insertion,0.608861,0.015,-0.310855,0.349066,0.076294,0.531464,0.015001,0.076496,0.033517,0.043504
22.05,insertion,0.608861,0.015,-0.310855,0.349066,0.076544,0.531379,0.015001,0.076261,0.033267,0.043739
22.1,insertion,0.608861,0.015,-0.310855,0.349066,0.076794,0.531293,0.015001,0.076025,0.033017,0.043975
22.15,insertion,0.608861,0.015,-0.310855,0.349066,0.077044,0.531208,0.015001,0.07579,0.032767,0.04421
22.2,insertion,0.608861,0.015,-0.310855,0.349066,0.077295,0.531122,0.015001,0.075555,0.032517,0.044445
22.25,insertion,0.608861,0.015,-0.310855,0.349066,0.077545,0.531037,0.015001,0.07532,0.032266,0.04468
22.3,insertion,0.608861,0.015,-0.310855,0.349066,0.077795,0.530951,0.015001,0.075085,0.032016,0.044915
22.35,insertion,0.608861,0.015,-0.310855,0.349066,0.078045,0.530865,0.015001,0.07485,0.031766,0.04515
22.4,insertion,0.608861,0.015,-0.310855,0.349066,0.078295,0.53078,0.015001,0.074615,0.031516,0.045385
22.45,insertion,0.608861,0.015,-0.310855,0.349066,0.078545,0.530694,0.015001,0.07438,0.031266,0.04562
22.5,insertion,0.608861,0.015,-0.310855,0.349066,0.078795,0.530609,0.015001,0.074145,0.031016,0.045855
22.55,insertion,0.608861,0.015,-0.310855,0.349066,0.079046,0.530523,0.015001,0.07391,0.030766,0.04609
22.6,insertion,0.608861,0.015,-0.310855,0.349066,0.079296,0.530438,0.015001,0.073675,0.030515,0.046325
22.65,insertion,0.608861,0.015,-0.310855,0.349066,0.079546,0.530352,0.015001,0.07344,0.030265,0.04656
22.7,insertion,0.608861,0.015,-0.310855,0.349066,0.079796,0.530267,0.015001,0.073205,0.030015,0.046795
22.75,insertion,0.608861,0.015,-0.310855,0.349066,0.080046,0.530181,0.015001,0.07297,0.029765,0.04703
22.8,insertion,0.608861,0.015,-0.310855,0.349066,0.080296,0.530095,0.015001,0.072735,0.029515,0.047265
22.85,insertion,0.608861,0.015,-0.310855,0.349066,0.080546,0.53001,0.015001,0.0725,0.029265,0.0475
22.9,insertion,0.608861,0.015,-0.310855,0.349066,0.080797,0.529924,0.015001,0.072265,0.029015,0.047735
22.95,insertion,0.608861,0.015,-0.310855,0.349066,0.081047,0.529839,0.015001,0.072029,0.028764,0.047971
23.0,insertion,0.608861,0.015,-0.310855,0.349066,0.081297,0.529753,0.015001,0.071794,0.028514,0.048206
23.05,insertion,0.608861,0.015,-0.310855,0.349066,0.081547,0.529668,0.015001,0.071559,0.028264,0.048441
23.1,insertion,0.608861,0.015,-0.310855,0.349066,0.081797,0.529582,0.015001,0.071324,0.028014,0.048676
23.15,insertion,0.608861,0.015,-0.310855,0.349066,0.082047,0.529497,0.015001,0.071089,0.027764,0.048911
23.2,insertion,0.608861,0.015,-0.310855,0.349066,0.082297,0.529411,0.015001,0.070854,0.027514,0.049146
23.25,insertion,0.608861,0.015,-0.310855,0.349066,0.082548,0.529325,0.015001,0.070619,0.027264,0.049381
23.3,insertion,0.608861,0.015,-0.310855,0.349066,0.082798,0.52924,0.015001,0.070384,0.027013,0.049616
23.35,insertion,0.608861,0.015,-0.310855,0.349066,0.083048,0.529154,0.015001,0.070149,0.026763,0.049851
23.4,insertion,0.608861,0.015,-0.310855,0.349066,0.083298,0.529069,0.015001,0.069914,0.026513,0.050086
23.45,insertion,0.608861,0.015,-0.310855,0.349066,0.083548,0.528983,0.015001,0.069679,0.026263,0.050321
23.5,insertion,0.608861,0.015,-0.310855,0.349066,0.083798,0.528898,0.015001,0.069444,0.026013,0.050556
23.55,insertion,0.608861,0.015,-0.310855,0.349066,0.084048,0.528812,0.015001,0.069209,0.025763,0.050791
23.6,insertion,0.608861,0.015,-0.310855,0.349066,0.084299,0.528727,0.015001,0.068974,0.025513,0.051026
23.65,insertion,0.608861,0.015,-0.310855,0.349066,0.084549,0.528641,0.015001,0.068739,0.025262,0.051261
23.7,insertion,0.608861,0.015,-0.310855,0.349066,0.084799,0.528555,0.015001,0.068504,0.025012,0.051496
23.75,insertion,0.608861,0.015,-0.310855,0.349066,0.085049,0.52847,0.015001,0.068269,0.024762,0.051731
23.8,insertion,0.608861,0.015,-0.310855,0.349066,0.085299,0.528384,0.015001,0.068033,0.024512,0.051967
23.85,insertion,0.608861,0.015,-0.310855,0.349066,0.085549,0.528299,0.015001,0.067798,0.024262,0.052202
23.9,insertion,0.608861,0.015,-0.310855,0.349066,0.085799,0.528213,0.015001,0.067563,0.024012,0.052437
23.95,insertion,0.608861,0.015,-0.310855,0.349066,0.08605,0.528128,0.015001,0.067328,0.023762,0.052672
24.0,insertion,0.608861,0.015,-0.310855,0.349066,0.0863,0.528042,0.015001,0.067093,0.023511,0.052907
